"Date","Price","Open","High","Low","Vol.","Change %"
"01/26/2024","11,700.0","11,550.0","11,700.0","11,550.0","2.80K","0.00%"
"01/25/2024","11,700.0","11,600.0","11,800.0","11,600.0","3.70K","0.00%"
"01/24/2024","11,700.0","11,750.0","11,750.0","11,600.0","17.70K","-0.85%"
"01/23/2024","11,800.0","11,850.0","11,850.0","11,600.0","6.20K","-0.42%"
"01/22/2024","11,850.0","12,050.0","12,050.0","11,700.0","34.40K","-1.25%"
"01/19/2024","12,000.0","12,100.0","12,100.0","11,900.0","24.00K","-0.83%"
"01/18/2024","12,100.0","11,500.0","12,150.0","11,300.0","111.20K","-0.41%"
"01/17/2024","12,150.0","12,150.0","12,150.0","12,000.0","12.30K","0.00%"
"01/16/2024","12,150.0","12,150.0","12,150.0","11,900.0","15.60K","0.00%"
"01/15/2024","12,150.0","12,000.0","12,200.0","12,000.0","7.10K","-0.41%"
"01/12/2024","12,200.0","12,250.0","12,250.0","12,050.0","25.80K","-0.41%"
"01/11/2024","12,250.0","12,250.0","12,250.0","12,150.0","25.60K","0.00%"
"01/10/2024","12,250.0","12,150.0","12,300.0","12,150.0","12.60K","-0.41%"
"01/09/2024","12,300.0","12,300.0","12,300.0","12,200.0","14.70K","0.00%"
"01/08/2024","12,300.0","12,350.0","12,350.0","12,150.0","20.70K","-0.40%"
"01/05/2024","12,350.0","12,250.0","12,350.0","12,250.0","6.70K","0.00%"
"01/04/2024","12,350.0","12,300.0","12,350.0","12,250.0","12.10K","0.41%"
"01/03/2024","12,300.0","12,350.0","12,350.0","12,200.0","7.20K","-0.40%"
"01/02/2024","12,350.0","12,100.0","12,350.0","12,100.0","14.80K","0.00%"
"12/29/2023","12,350.0","12,300.0","12,400.0","12,300.0","19.60K","-0.40%"
"12/28/2023","12,400.0","12,250.0","12,400.0","12,200.0","6.80K","0.81%"
"12/27/2023","12,300.0","12,400.0","12,400.0","12,300.0","9.00K","-0.81%"
"12/26/2023","12,400.0","12,250.0","12,400.0","12,200.0","5.40K","0.00%"
"12/25/2023","12,400.0","12,400.0","12,400.0","12,300.0","7.80K","0.40%"
"12/22/2023","12,350.0","12,250.0","12,350.0","12,250.0","27.20K","0.41%"
"12/21/2023","12,300.0","12,250.0","12,450.0","12,200.0","35.70K","0.41%"
"12/20/2023","12,250.0","12,350.0","12,350.0","12,200.0","67.50K","0.00%"
"12/19/2023","12,250.0","12,300.0","12,300.0","12,000.0","10.30K","-0.41%"
"12/18/2023","12,300.0","12,000.0","12,350.0","11,950.0","36.40K","-0.40%"
"12/15/2023","12,350.0","12,250.0","12,350.0","12,250.0","13.00K","0.00%"
"12/14/2023","12,350.0","12,400.0","12,400.0","12,150.0","39.60K","-0.80%"
"12/13/2023","12,450.0","12,400.0","12,450.0","12,200.0","22.60K","0.00%"
"12/12/2023","12,450.0","12,450.0","12,550.0","12,350.0","10.00K","0.00%"
"12/11/2023","12,450.0","12,550.0","12,550.0","12,300.0","39.10K","-0.40%"
"12/08/2023","12,500.0","12,550.0","12,550.0","12,450.0","20.80K","0.00%"
"12/07/2023","12,500.0","12,600.0","12,600.0","12,200.0","71.50K","-0.40%"
"12/06/2023","12,550.0","12,200.0","12,600.0","12,200.0","114.70K","3.29%"
"12/05/2023","12,150.0","11,950.0","12,150.0","11,950.0","115.80K","2.10%"
"12/04/2023","11,900.0","11,300.0","11,900.0","11,300.0","137.00K","4.85%"
"12/01/2023","11,350.0","11,200.0","11,400.0","10,550.0","71.80K","2.25%"
"11/30/2023","11,100.0","11,000.0","11,100.0","10,900.0","13.80K","0.91%"
"11/29/2023","11,000.0","10,900.0","11,000.0","10,900.0","11.50K","-0.90%"
"11/28/2023","11,100.0","11,200.0","11,200.0","11,000.0","10.60K","-0.89%"
"11/27/2023","11,200.0","11,000.0","11,200.0","10,950.0","50.50K","0.00%"
"11/24/2023","11,200.0","11,000.0","11,250.0","10,900.0","20.20K","-0.44%"
"11/23/2023","11,250.0","11,350.0","11,350.0","11,000.0","18.10K","-0.44%"
"11/22/2023","11,300.0","11,200.0","11,300.0","11,150.0","5.60K","0.00%"
"11/21/2023","11,300.0","11,300.0","11,300.0","11,100.0","2.40K","0.00%"
"11/20/2023","11,300.0","11,200.0","11,300.0","11,150.0","28.30K","-0.44%"
"11/17/2023","11,350.0","11,300.0","11,350.0","11,150.0","45.80K","0.00%"
"11/16/2023","11,350.0","11,350.0","11,350.0","11,100.0","10.20K","0.00%"
"11/15/2023","11,350.0","11,400.0","11,400.0","11,200.0","31.60K","0.44%"
"11/14/2023","11,300.0","11,300.0","11,300.0","11,200.0","43.70K","0.00%"
"11/13/2023","11,300.0","11,300.0","11,350.0","11,150.0","14.50K","0.00%"
"11/10/2023","11,300.0","11,150.0","11,300.0","11,000.0","17.40K","0.89%"
"11/09/2023","11,200.0","11,150.0","11,250.0","10,950.0","8.80K","0.45%"
"11/08/2023","11,150.0","10,650.0","11,200.0","10,650.0","6.50K","1.36%"
"11/07/2023","11,000.0","11,000.0","11,000.0","10,800.0","11.30K","0.00%"
"11/06/2023","11,000.0","11,000.0","11,000.0","10,950.0","15.60K","0.46%"
"11/03/2023","10,950.0","11,050.0","11,100.0","10,950.0","13.40K","-3.10%"
"11/02/2023","11,300.0","11,400.0","11,400.0","11,000.0","18.10K","0.00%"
"11/01/2023","11,300.0","11,150.0","11,400.0","10,950.0","19.40K","-1.31%"
"10/31/2023","11,450.0","11,450.0","11,450.0","10,900.0","14.50K","0.00%"
"10/30/2023","11,450.0","11,400.0","11,450.0","10,900.0","18.20K","0.00%"
"10/27/2023","11,450.0","11,500.0","11,500.0","11,100.0","26.90K","-0.43%"
"10/26/2023","11,500.0","12,200.0","12,200.0","10,900.0","32.20K","0.00%"
"10/25/2023","11,500.0","10,750.0","11,500.0","10,750.0","46.00K","6.98%"
"10/24/2023","10,750.0","11,600.0","11,750.0","10,750.0","39.80K","-6.52%"
"10/23/2023","11,500.0","11,500.0","11,600.0","11,500.0","3.20K","-0.86%"
"10/20/2023","11,600.0","10,900.0","11,600.0","10,900.0","7.60K","0.43%"
"10/19/2023","11,550.0","11,400.0","11,700.0","11,300.0","59.00K","0.87%"
"10/18/2023","11,450.0","11,600.0","11,600.0","11,450.0","11.90K","-3.78%"
"10/17/2023","11,900.0","11,900.0","11,900.0","11,700.0","2.20K","2.15%"
"10/16/2023","11,650.0","11,800.0","11,800.0","11,650.0","6.10K","-2.10%"
"10/13/2023","11,900.0","11,800.0","11,950.0","11,700.0","2.60K","0.00%"
"10/12/2023","11,900.0","12,000.0","12,000.0","11,300.0","11.20K","0.00%"
"10/11/2023","11,900.0","12,200.0","12,250.0","11,050.0","25.90K","0.85%"
"10/10/2023","11,800.0","12,000.0","12,200.0","11,800.0","37.40K","-1.67%"
"10/09/2023","12,000.0","12,300.0","12,450.0","11,750.0","29.80K","-2.44%"
"10/06/2023","12,300.0","11,550.0","12,350.0","11,400.0","91.70K","6.49%"
"10/05/2023","11,550.0","11,650.0","11,800.0","11,500.0","58.90K","-2.53%"
"10/04/2023","11,850.0","12,000.0","12,000.0","11,550.0","25.90K","-1.66%"
"10/03/2023","12,050.0","12,200.0","12,200.0","11,850.0","25.10K","-1.23%"
"10/02/2023","12,200.0","12,050.0","12,650.0","12,000.0","21.80K","1.24%"
"09/29/2023","12,050.0","12,000.0","12,300.0","11,650.0","73.80K","0.00%"
"09/28/2023","12,050.0","12,300.0","12,300.0","12,000.0","15.00K","-2.03%"
"09/27/2023","12,300.0","12,650.0","12,650.0","12,050.0","21.50K","-3.15%"
"09/26/2023","12,700.0","12,800.0","12,800.0","12,500.0","13.70K","-0.78%"
"09/25/2023","12,800.0","12,800.0","12,800.0","12,400.0","17.10K","0.00%"
"09/22/2023","12,800.0","12,800.0","12,800.0","12,500.0","42.70K","-0.78%"
"09/21/2023","12,900.0","12,900.0","12,900.0","12,750.0","21.70K","0.00%"
"09/20/2023","12,900.0","12,850.0","12,900.0","12,750.0","14.90K","0.00%"
"09/19/2023","12,900.0","12,900.0","13,000.0","12,800.0","5.60K","0.00%"
"09/18/2023","12,900.0","12,800.0","13,000.0","12,750.0","15.60K","0.00%"
"09/15/2023","12,900.0","12,800.0","12,950.0","12,800.0","21.00K","0.00%"
"09/14/2023","12,900.0","12,900.0","12,900.0","12,750.0","24.20K","0.00%"
"09/13/2023","12,900.0","12,950.0","12,950.0","12,800.0","34.00K","-0.39%"
"09/12/2023","12,950.0","12,800.0","13,000.0","12,800.0","11.60K","0.39%"
"09/11/2023","12,900.0","13,000.0","13,000.0","12,850.0","34.30K","0.00%"
"09/08/2023","12,900.0","12,900.0","13,000.0","12,900.0","43.80K","-0.39%"
"09/07/2023","12,950.0","13,000.0","13,000.0","12,900.0","23.10K","-0.38%"
"09/06/2023","13,000.0","13,100.0","13,100.0","12,800.0","39.20K","0.78%"
"09/05/2023","12,900.0","13,100.0","13,100.0","12,900.0","44.70K","-0.77%"
"08/31/2023","13,000.0","13,200.0","13,200.0","12,900.0","53.10K","0.00%"
"08/30/2023","13,000.0","12,950.0","13,500.0","12,950.0","26.10K","0.39%"
"08/29/2023","12,950.0","13,000.0","13,000.0","12,900.0","19.40K","0.00%"
"08/28/2023","12,950.0","13,200.0","13,200.0","12,850.0","33.40K","0.00%"
"08/25/2023","12,950.0","13,000.0","13,000.0","12,850.0","13.30K","0.00%"
"08/24/2023","12,950.0","12,900.0","13,000.0","12,900.0","30.70K","0.39%"
"08/23/2023","12,900.0","13,350.0","13,350.0","12,900.0","33.00K","-0.77%"
"08/22/2023","13,000.0","13,550.0","13,550.0","13,000.0","43.70K","-2.62%"
"08/21/2023","13,350.0","13,550.0","13,550.0","13,000.0","24.50K","-1.48%"
"08/18/2023","13,550.0","13,350.0","13,650.0","12,900.0","182.10K","0.00%"
"08/17/2023","13,550.0","13,650.0","13,700.0","13,300.0","36.70K","0.37%"
"08/16/2023","13,500.0","13,650.0","13,650.0","13,450.0","70.60K","-1.10%"
"08/15/2023","13,650.0","13,700.0","13,800.0","13,500.0","45.80K","0.00%"
"08/14/2023","13,650.0","13,600.0","13,800.0","13,600.0","51.60K","0.00%"
"08/11/2023","13,650.0","13,800.0","13,800.0","13,550.0","37.50K","-1.09%"
"08/10/2023","13,800.0","13,750.0","13,850.0","13,550.0","75.40K","0.00%"
"08/09/2023","13,800.0","13,850.0","13,900.0","13,600.0","45.80K","-0.72%"
"08/08/2023","13,900.0","14,000.0","14,000.0","13,800.0","122.40K","0.72%"
"08/07/2023","13,800.0","13,950.0","14,000.0","13,750.0","90.00K","-1.08%"
"08/04/2023","13,950.0","13,500.0","14,050.0","13,450.0","135.90K","2.57%"
"08/03/2023","13,600.0","13,500.0","13,600.0","13,400.0","54.80K","0.74%"
"08/02/2023","13,500.0","13,500.0","13,700.0","13,400.0","28.30K","0.00%"
"08/01/2023","13,500.0","13,800.0","13,800.0","13,350.0","68.10K","-2.17%"
"07/31/2023","13,800.0","13,950.0","14,100.0","13,750.0","44.90K","-0.36%"
"07/28/2023","13,850.0","13,600.0","14,050.0","13,600.0","149.20K","1.84%"
"07/27/2023","13,600.0","13,650.0","13,700.0","13,450.0","54.60K","-0.37%"
"07/26/2023","13,650.0","13,550.0","13,650.0","13,500.0","54.70K","0.37%"
"07/25/2023","13,600.0","13,550.0","13,700.0","13,450.0","52.40K","1.12%"
"07/24/2023","13,450.0","13,550.0","13,550.0","13,400.0","27.40K","-0.37%"
"07/21/2023","13,500.0","13,500.0","13,600.0","13,300.0","91.00K","0.00%"
"07/20/2023","13,500.0","13,500.0","13,500.0","13,450.0","40.20K","0.37%"
"07/19/2023","13,450.0","13,450.0","13,550.0","13,450.0","45.50K","0.00%"
"07/18/2023","13,450.0","13,400.0","13,600.0","13,350.0","39.60K","-0.37%"
"07/17/2023","13,500.0","13,500.0","13,600.0","13,400.0","25.20K","0.00%"
"07/14/2023","13,500.0","13,600.0","13,600.0","13,500.0","10.50K","-0.74%"
"07/13/2023","13,600.0","13,350.0","13,650.0","13,350.0","12.50K","0.00%"
"07/12/2023","13,600.0","13,600.0","13,600.0","13,300.0","59.30K","0.00%"
"07/11/2023","13,600.0","13,900.0","13,900.0","13,600.0","26.40K","-0.37%"
"07/10/2023","13,650.0","13,650.0","13,650.0","13,500.0","36.40K","0.00%"
"07/07/2023","13,650.0","13,500.0","13,650.0","13,300.0","28.00K","1.11%"
"07/06/2023","13,500.0","13,450.0","13,500.0","13,000.0","37.70K","0.37%"
"07/05/2023","13,450.0","13,500.0","13,550.0","13,450.0","33.20K","-0.74%"
"07/04/2023","13,550.0","13,500.0","13,650.0","13,500.0","30.60K","0.00%"
"07/03/2023","13,550.0","13,750.0","13,750.0","13,400.0","12.50K","0.37%"
"06/30/2023","13,500.0","13,600.0","13,600.0","13,500.0","19.50K","-1.46%"
"06/29/2023","13,700.0","13,800.0","13,800.0","13,550.0","84.60K","0.00%"
"06/28/2023","13,700.0","13,800.0","13,900.0","13,600.0","23.30K","0.37%"
