"Date","Price","Open","High","Low","Vol.","Change %"
"01/26/2024","31,350.0","30,100.0","31,350.0","30,100.0","4.90K","5.20%"
"01/25/2024","29,800.0","31,400.0","31,400.0","29,800.0","0.20K","-4.33%"
"01/24/2024","31,150.0","30,950.0","31,150.0","29,650.0","15.00K","0.48%"
"01/22/2024","31,000.0","30,000.0","31,000.0","29,500.0","0.30K","-0.64%"
"01/18/2024","31,200.0","30,800.0","31,200.0","30,800.0","2.00K","0.00%"
"01/17/2024","31,200.0","29,000.0","31,400.0","29,000.0","11.10K","2.30%"
"01/16/2024","30,500.0","30,500.0","30,500.0","30,500.0","2.60K","1.67%"
"01/15/2024","30,000.0","30,500.0","30,600.0","30,000.0","5.40K","-2.44%"
"01/08/2024","30,750.0","30,750.0","30,750.0","30,750.0","1.50K","0.00%"
"01/04/2024","30,750.0","30,750.0","30,750.0","30,750.0","0.10K","-0.32%"
"01/03/2024","30,850.0","30,850.0","30,850.0","30,850.0","0.90K","0.00%"
"01/02/2024","30,850.0","29,350.0","30,850.0","29,350.0","1.60K","0.16%"
"12/29/2023","30,800.0","30,050.0","30,800.0","30,050.0","3.90K","2.67%"
"12/28/2023","30,000.0","30,000.0","30,000.0","30,000.0","0.20K","-5.06%"
"12/26/2023","31,600.0","29,600.0","31,600.0","29,600.0","7.80K","1.28%"
"12/25/2023","31,200.0","31,200.0","31,200.0","31,200.0","0.20K","-3.85%"
"12/21/2023","32,450.0","32,450.0","32,450.0","32,450.0","0.10K","4.01%"
"12/20/2023","31,200.0","32,450.0","32,450.0","31,200.0","0.20K","-4.29%"
"12/18/2023","32,600.0","32,600.0","32,600.0","32,600.0","0.20K","-0.61%"
"12/15/2023","32,800.0","32,800.0","32,800.0","32,800.0","","0.00%"
"12/13/2023","32,800.0","30,600.0","32,800.0","30,600.0","0.20K","1.23%"
"12/07/2023","32,400.0","30,700.0","32,700.0","30,700.0","0.30K","-1.22%"
"12/05/2023","32,800.0","32,000.0","32,800.0","32,000.0","1.00K","0.46%"
"12/04/2023","32,650.0","32,650.0","32,650.0","32,650.0","0.10K","2.03%"
"12/01/2023","32,000.0","30,250.0","32,200.0","30,250.0","1.30K","0.00%"
"11/29/2023","32,000.0","31,000.0","32,000.0","31,000.0","0.50K","2.56%"
"11/28/2023","31,200.0","31,200.0","31,200.0","31,200.0","1.40K","-5.45%"
"11/27/2023","33,000.0","33,000.0","33,000.0","33,000.0","0.10K","-1.20%"
"11/23/2023","33,400.0","31,600.0","33,400.0","31,500.0","1.70K","0.30%"
"11/22/2023","33,300.0","33,400.0","33,400.0","31,400.0","2.00K","5.71%"
"11/21/2023","31,500.0","31,500.0","31,500.0","31,500.0","0.10K","-5.97%"
"11/20/2023","33,500.0","31,450.0","33,500.0","31,450.0","0.80K","0.00%"
"11/17/2023","33,500.0","32,550.0","33,500.0","32,550.0","6.20K","-4.15%"
"11/15/2023","34,950.0","34,950.0","34,950.0","34,950.0","0.10K","5.11%"
"11/14/2023","33,250.0","30,750.0","33,250.0","30,750.0","9.10K","1.84%"
"11/13/2023","32,650.0","32,650.0","32,650.0","32,650.0","3.70K","0.77%"
"11/10/2023","32,400.0","31,500.0","32,400.0","31,500.0","0.70K","-4.14%"
"11/09/2023","33,800.0","31,050.0","33,800.0","31,050.0","4.90K","2.74%"
"11/07/2023","32,900.0","32,500.0","33,000.0","30,900.0","6.40K","-0.30%"
"11/06/2023","33,000.0","33,000.0","33,000.0","33,000.0","0.20K","0.00%"
"11/02/2023","33,000.0","32,000.0","33,150.0","31,800.0","2.30K","-0.90%"
"11/01/2023","33,300.0","31,400.0","33,300.0","31,350.0","3.00K","-1.04%"
"10/31/2023","33,650.0","33,250.0","34,450.0","33,250.0","3.60K","-5.74%"
"10/25/2023","35,700.0","35,400.0","35,700.0","35,400.0","3.00K","-0.14%"
"10/24/2023","35,750.0","33,600.0","35,750.0","33,500.0","3.40K","-0.42%"
"10/23/2023","35,900.0","33,600.0","35,900.0","33,500.0","6.20K","0.00%"
"10/20/2023","35,900.0","33,350.0","36,850.0","33,350.0","1.00K","0.28%"
"10/19/2023","35,800.0","34,150.0","35,800.0","34,150.0","0.90K","-2.45%"
"10/17/2023","36,700.0","36,950.0","36,950.0","36,700.0","0.40K","2.09%"
"10/16/2023","35,950.0","35,950.0","35,950.0","35,950.0","0.30K","4.81%"
"10/13/2023","34,300.0","35,600.0","35,600.0","34,300.0","0.30K","-4.19%"
"10/11/2023","35,800.0","34,000.0","35,800.0","34,000.0","1.00K","-0.14%"
"10/10/2023","35,850.0","34,500.0","35,850.0","34,200.0","1.10K","-0.69%"
"10/06/2023","36,100.0","34,500.0","36,100.0","34,500.0","1.20K","-0.96%"
"10/03/2023","36,450.0","35,300.0","36,450.0","35,300.0","2.60K","3.26%"
"10/02/2023","35,300.0","35,000.0","36,500.0","35,000.0","2.80K","-6.12%"
"09/25/2023","37,600.0","37,600.0","37,600.0","37,600.0","0.20K","4.44%"
"09/21/2023","36,000.0","36,000.0","36,000.0","36,000.0","0.20K","-6.37%"
"09/19/2023","38,450.0","36,250.0","38,450.0","36,250.0","0.60K","-1.03%"
"09/18/2023","38,850.0","36,450.0","38,850.0","36,400.0","1.50K","-0.26%"
"09/13/2023","38,950.0","38,950.0","38,950.0","38,950.0","0.10K","2.64%"
"09/11/2023","37,950.0","38,100.0","38,100.0","37,600.0","4.20K","0.13%"
"09/08/2023","37,900.0","36,400.0","37,900.0","36,400.0","1.20K","-2.82%"
"09/07/2023","39,000.0","37,500.0","39,000.0","37,500.0","2.20K","0.00%"
"08/31/2023","39,000.0","37,050.0","39,000.0","37,050.0","4.20K","4.14%"
"08/24/2023","37,450.0","37,450.0","37,450.0","37,450.0","0.30K","1.77%"
"08/21/2023","36,800.0","36,700.0","36,800.0","36,300.0","4.70K","0.00%"
"08/18/2023","36,800.0","36,800.0","36,800.0","36,800.0","","0.00%"
"08/17/2023","36,800.0","36,000.0","36,800.0","35,600.0","5.40K","0.00%"
"08/16/2023","36,800.0","36,150.0","36,800.0","35,600.0","3.10K","0.00%"
"08/15/2023","36,800.0","36,000.0","36,800.0","36,000.0","5.00K","1.80%"
"08/10/2023","36,150.0","35,850.0","36,150.0","35,850.0","1.90K","0.70%"
"08/09/2023","35,900.0","35,900.0","35,900.0","35,900.0","0.10K","-0.14%"
"08/08/2023","35,950.0","35,950.0","35,950.0","35,950.0","1.10K","4.20%"
"08/07/2023","34,500.0","34,600.0","35,750.0","34,500.0","2.70K","-0.58%"
"08/04/2023","34,700.0","34,700.0","34,700.0","34,700.0","0.10K","-3.07%"
"08/03/2023","35,800.0","35,800.0","35,800.0","35,800.0","1.80K","1.85%"
"08/02/2023","35,150.0","35,900.0","35,900.0","35,150.0","0.80K","0.14%"
"08/01/2023","35,100.0","34,500.0","36,000.0","34,500.0","12.60K","-3.04%"
"07/27/2023","36,200.0","36,200.0","36,200.0","36,200.0","0.60K","1.12%"
"07/26/2023","35,800.0","34,350.0","35,800.0","34,000.0","2.20K","3.77%"
"07/25/2023","34,500.0","35,000.0","35,000.0","34,500.0","1.90K","-1.99%"
"07/24/2023","35,200.0","34,800.0","36,050.0","34,500.0","1.30K","-2.76%"
"07/21/2023","36,200.0","36,000.0","36,200.0","36,000.0","0.60K","0.98%"
"07/20/2023","35,850.0","34,600.0","35,900.0","34,600.0","3.90K","-1.51%"
"07/18/2023","36,400.0","35,000.0","36,400.0","35,000.0","3.10K","0.55%"
"07/17/2023","36,200.0","35,500.0","36,200.0","34,000.0","2.40K","-0.55%"
"07/13/2023","36,400.0","36,400.0","36,400.0","36,400.0","0.10K","0.00%"
"07/12/2023","36,400.0","36,400.0","36,400.0","36,400.0","4.80K","2.54%"
"07/11/2023","35,500.0","37,200.0","37,200.0","35,400.0","3.90K","-3.14%"
"07/10/2023","36,650.0","35,500.0","36,650.0","35,300.0","4.40K","-2.27%"
"07/07/2023","37,500.0","35,200.0","37,500.0","35,200.0","1.50K","3.59%"
"07/06/2023","36,200.0","36,200.0","36,200.0","36,200.0","0.10K","-0.55%"
"06/30/2023","36,400.0","36,400.0","36,400.0","36,400.0","2.00K","0.00%"
"06/29/2023","36,400.0","35,700.0","36,400.0","35,700.0","0.90K","-1.75%"
"06/27/2023","37,050.0","36,850.0","37,050.0","36,850.0","1.80K","0.41%"
"06/26/2023","36,900.0","36,900.0","36,900.0","36,900.0","1.60K","1.37%"
"06/23/2023","36,400.0","36,400.0","36,400.0","36,400.0","0.80K","-3.83%"
"06/22/2023","37,850.0","37,900.0","37,900.0","36,150.0","3.10K","0.93%"
"06/21/2023","37,500.0","37,300.0","37,550.0","36,000.0","15.70K","-0.13%"
"06/20/2023","37,550.0","37,500.0","37,550.0","37,500.0","2.60K","3.73%"
"06/19/2023","36,200.0","36,350.0","36,350.0","36,200.0","5.60K","-5.61%"
"06/16/2023","38,350.0","37,750.0","38,350.0","37,750.0","0.50K","1.59%"
"06/15/2023","37,750.0","36,500.0","37,950.0","36,000.0","8.90K","0.00%"
"06/14/2023","37,750.0","36,650.0","37,800.0","36,500.0","6.40K","-1.95%"
"06/12/2023","38,500.0","38,500.0","38,500.0","38,500.0","0.70K","-0.90%"
"06/08/2023","38,850.0","38,850.0","38,850.0","38,850.0","0.50K","4.86%"
"06/07/2023","37,050.0","38,300.0","38,350.0","37,000.0","3.40K","-2.63%"
"06/06/2023","38,050.0","37,850.0","38,050.0","37,850.0","3.70K","0.26%"
"06/02/2023","37,950.0","37,450.0","38,050.0","37,450.0","10.80K","2.43%"
"06/01/2023","37,050.0","37,100.0","38,950.0","37,000.0","5.60K","-4.39%"
"05/31/2023","38,750.0","37,050.0","38,750.0","37,000.0","10.60K","0.00%"
"05/30/2023","38,750.0","38,000.0","38,750.0","36,150.0","14.40K","1.04%"
"05/26/2023","38,350.0","38,350.0","38,350.0","37,900.0","2.80K","0.92%"
"05/25/2023","38,000.0","38,700.0","38,700.0","38,000.0","3.60K","-2.56%"
"05/22/2023","39,000.0","37,200.0","39,000.0","37,000.0","3.50K","0.00%"
"05/19/2023","39,000.0","39,300.0","39,300.0","37,050.0","5.80K","-1.27%"
"05/17/2023","39,500.0","39,850.0","39,850.0","39,500.0","0.20K","1.41%"
"05/12/2023","38,950.0","38,950.0","38,950.0","38,950.0","0.50K","1.17%"
"05/11/2023","38,500.0","37,500.0","38,500.0","37,450.0","5.90K","6.06%"
"05/10/2023","36,300.0","36,050.0","36,300.0","36,050.0","1.60K","-6.20%"
"05/05/2023","38,700.0","35,050.0","38,700.0","35,050.0","0.40K","5.45%"
"05/04/2023","36,700.0","36,550.0","39,000.0","36,550.0","0.30K","-5.90%"
"04/27/2023","39,000.0","39,000.0","39,000.0","39,000.0","0.10K","-0.51%"
"04/06/2023","39,200.0","37,000.0","39,200.0","37,000.0","2.70K","1.82%"
"04/04/2023","38,500.0","36,500.0","38,500.0","36,500.0","0.20K","-0.26%"
"04/03/2023","38,600.0","36,200.0","38,650.0","36,150.0","7.90K","-0.64%"
"03/31/2023","38,850.0","38,850.0","38,850.0","38,850.0","0.10K","0.00%"
"03/30/2023","38,850.0","36,650.0","38,850.0","36,650.0","0.80K","-1.02%"
"03/28/2023","39,250.0","36,150.0","39,250.0","36,150.0","6.40K","1.03%"
"03/27/2023","38,850.0","36,250.0","38,850.0","36,250.0","3.80K","-0.26%"
"03/20/2023","38,950.0","36,100.0","38,950.0","36,000.0","0.90K","3.87%"
"03/17/2023","37,500.0","36,800.0","37,500.0","36,800.0","6.10K","0.40%"
"03/15/2023","37,350.0","35,000.0","37,350.0","35,000.0","4.50K","0.00%"
"03/13/2023","37,350.0","37,000.0","37,400.0","34,800.0","1.40K","-0.13%"
"03/10/2023","37,400.0","33,500.0","37,400.0","32,850.0","12.70K","6.86%"
"03/09/2023","35,000.0","35,000.0","35,000.0","35,000.0","0.10K","0.00%"
"03/08/2023","35,000.0","35,000.0","35,000.0","35,000.0","0.50K","0.00%"
"03/07/2023","35,000.0","35,000.0","35,000.0","34,750.0","2.40K","-6.29%"
"03/06/2023","37,350.0","37,450.0","37,450.0","37,350.0","0.90K","1.08%"
"03/03/2023","36,950.0","35,500.0","36,950.0","35,400.0","1.30K","-2.64%"
"03/02/2023","37,950.0","37,950.0","37,950.0","35,200.0","0.80K","6.30%"
"03/01/2023","35,700.0","35,350.0","37,450.0","35,150.0","2.90K","-5.31%"
"02/28/2023","37,700.0","37,700.0","37,700.0","37,700.0","2.00K","3.01%"
"02/27/2023","36,600.0","36,550.0","37,400.0","36,550.0","0.60K","-6.87%"
"02/23/2023","39,300.0","37,400.0","39,300.0","37,400.0","2.70K","4.24%"
"02/22/2023","37,700.0","35,100.0","38,400.0","35,100.0","4.70K","2.59%"
"02/21/2023","36,750.0","36,350.0","36,750.0","35,250.0","4.40K","6.52%"
"02/20/2023","34,500.0","37,700.0","37,700.0","34,500.0","4.80K","-6.63%"
"02/17/2023","36,950.0","36,950.0","36,950.0","36,950.0","2.00K","1.65%"
"02/16/2023","36,350.0","36,000.0","36,350.0","36,000.0","0.80K","0.55%"
"02/15/2023","36,150.0","34,100.0","36,350.0","34,100.0","0.80K","-0.55%"
"02/13/2023","36,350.0","34,100.0","36,800.0","33,100.0","2.80K","2.97%"
"02/10/2023","35,300.0","35,350.0","35,350.0","35,300.0","0.50K","-6.86%"
"02/09/2023","37,900.0","37,600.0","37,900.0","37,600.0","1.30K","0.00%"
"02/08/2023","37,900.0","35,350.0","37,900.0","35,350.0","0.20K","0.00%"
"02/07/2023","37,900.0","36,250.0","37,900.0","36,200.0","1.20K","-1.94%"
"02/03/2023","38,650.0","38,500.0","38,900.0","36,150.0","1.80K","1.98%"
"02/02/2023","37,900.0","36,250.0","37,950.0","35,000.0","1.40K","4.55%"
"02/01/2023","36,250.0","36,250.0","36,250.0","36,250.0","0.10K","-5.72%"
"01/31/2023","38,450.0","35,200.0","38,450.0","35,200.0","1.20K","4.06%"
"01/30/2023","36,950.0","37,000.0","38,400.0","36,950.0","6.20K","-6.93%"
"01/27/2023","39,700.0","37,150.0","39,700.0","37,150.0","0.30K","6.86%"
"01/19/2023","37,150.0","37,150.0","37,500.0","37,150.0","3.60K","-6.89%"
"01/18/2023","39,900.0","36,500.0","39,900.0","35,850.0","1.70K","3.64%"
"01/17/2023","38,500.0","38,500.0","38,500.0","38,500.0","0.90K","-6.89%"
"01/06/2023","41,350.0","38,550.0","41,350.0","38,550.0","0.50K","-0.24%"
"12/30/2022","41,450.0","41,450.0","41,450.0","41,450.0","0.10K","5.07%"
"12/29/2022","39,450.0","37,250.0","39,800.0","37,250.0","0.60K","5.91%"
"12/28/2022","37,250.0","40,950.0","40,950.0","37,250.0","0.60K","-4.73%"
"12/27/2022","39,100.0","39,100.0","39,150.0","39,100.0","2.30K","-6.90%"
"12/26/2022","42,000.0","39,100.0","43,950.0","39,100.0","5.50K","0.00%"
"12/23/2022","42,000.0","36,950.0","42,000.0","36,950.0","23.10K","5.79%"
"12/22/2022","39,700.0","39,700.0","39,700.0","39,700.0","0.30K","-6.92%"
"12/21/2022","42,650.0","42,650.0","42,650.0","42,650.0","0.50K","-5.22%"
"12/13/2022","45,000.0","45,000.0","45,000.0","45,000.0","","-1.85%"
"10/21/2022","45,850.0","45,850.0","45,850.0","45,850.0","0.10K","3.38%"
"10/14/2022","44,350.0","41,700.0","44,350.0","41,700.0","1.00K","6.23%"
"10/07/2022","41,750.0","41,750.0","41,750.0","41,750.0","0.20K","6.78%"
"10/06/2022","39,100.0","39,100.0","40,650.0","39,100.0","0.60K","-6.90%"
"09/30/2022","42,000.0","42,000.0","42,000.0","42,000.0","0.10K","-1.29%"
"09/28/2022","42,550.0","42,650.0","42,650.0","37,350.0","0.90K","6.24%"
"09/27/2022","40,050.0","40,050.0","40,050.0","40,050.0","0.10K","-6.32%"
"09/26/2022","42,750.0","42,750.0","42,750.0","42,750.0","0.30K","6.21%"
"09/23/2022","40,250.0","39,600.0","42,500.0","39,600.0","1.90K","-5.41%"
"09/19/2022","42,550.0","42,550.0","42,550.0","42,550.0","0.30K","4.80%"
"09/16/2022","40,600.0","40,600.0","40,600.0","40,600.0","0.20K","-6.24%"
"09/15/2022","43,300.0","42,000.0","43,300.0","42,000.0","1.90K","-0.12%"
"09/13/2022","43,350.0","42,000.0","43,350.0","42,000.0","2.10K","2.24%"
"09/12/2022","42,400.0","42,500.0","44,900.0","42,400.0","3.30K","-6.92%"
"09/06/2022","45,550.0","42,650.0","45,550.0","42,650.0","0.70K","-0.65%"
"09/05/2022","45,850.0","42,700.0","45,850.0","42,700.0","4.60K","0.00%"
"08/22/2022","45,850.0","42,650.0","45,850.0","42,650.0","1.40K","0.00%"
"08/18/2022","45,850.0","45,850.0","45,850.0","45,850.0","0.10K","1.44%"
"08/17/2022","45,200.0","42,500.0","45,950.0","42,500.0","0.30K","-0.77%"
"08/16/2022","45,550.0","45,800.0","45,800.0","44,900.0","0.60K","1.45%"
"08/15/2022","44,900.0","44,900.0","44,900.0","44,900.0","0.10K","2.28%"
"08/12/2022","43,900.0","43,900.0","43,900.0","43,900.0","0.10K","6.81%"
"08/11/2022","41,100.0","41,100.0","41,100.0","41,100.0","0.40K","-6.48%"
"08/10/2022","43,950.0","43,950.0","43,950.0","43,950.0","0.80K","-0.11%"
"08/09/2022","44,000.0","44,000.0","44,000.0","44,000.0","0.30K","0.11%"
"08/08/2022","43,950.0","40,050.0","43,950.0","40,000.0","3.00K","4.64%"
"08/05/2022","42,000.0","39,800.0","42,000.0","39,800.0","1.40K","0.00%"
"08/04/2022","42,000.0","40,000.0","42,000.0","39,750.0","1.10K","0.00%"
"08/03/2022","42,000.0","41,950.0","42,000.0","41,950.0","0.90K","0.12%"
"08/02/2022","41,950.0","39,050.0","41,950.0","39,050.0","0.20K","0.00%"
"07/29/2022","41,950.0","41,000.0","41,950.0","40,800.0","2.00K","1.08%"
"07/28/2022","41,500.0","40,450.0","41,500.0","40,450.0","0.60K","1.22%"
"07/25/2022","41,000.0","40,900.0","41,800.0","40,900.0","1.10K","4.86%"
"07/22/2022","39,100.0","39,100.0","39,100.0","39,100.0","0.10K","-6.57%"
"07/20/2022","41,850.0","39,000.0","41,850.0","39,000.0","4.20K","-0.12%"
"07/18/2022","41,900.0","41,000.0","41,900.0","41,000.0","1.30K","1.21%"
"07/15/2022","41,400.0","41,400.0","41,400.0","41,400.0","0.40K","1.10%"
"07/14/2022","40,950.0","38,300.0","40,950.0","38,300.0","0.60K","0.37%"
"07/13/2022","40,800.0","38,300.0","40,800.0","38,300.0","2.70K","6.53%"
"07/12/2022","38,300.0","38,300.0","38,300.0","38,300.0","0.10K","-6.47%"
"07/08/2022","40,950.0","40,500.0","40,950.0","40,500.0","0.60K","1.11%"
"07/07/2022","40,500.0","40,500.0","40,500.0","40,500.0","0.30K","0.00%"
"07/06/2022","40,500.0","40,500.0","40,500.0","40,500.0","0.10K","1.00%"
"07/05/2022","40,100.0","40,000.0","40,700.0","36,700.0","1.30K","5.39%"
"07/04/2022","38,050.0","41,400.0","41,400.0","38,050.0","0.80K","-2.69%"
"07/01/2022","39,100.0","39,100.0","39,100.0","39,100.0","0.70K","-6.46%"
"06/30/2022","41,800.0","41,800.0","41,800.0","41,800.0","3.00K","4.50%"
"06/29/2022","40,000.0","37,800.0","40,000.0","37,800.0","1.70K","0.00%"
"06/28/2022","40,000.0","40,000.0","40,000.0","40,000.0","1.10K","0.00%"
"06/27/2022","40,000.0","40,000.0","40,000.0","40,000.0","2.00K","0.00%"
"06/24/2022","40,000.0","40,000.0","40,000.0","40,000.0","2.00K","2.56%"
"06/23/2022","39,000.0","39,000.0","39,000.0","39,000.0","2.00K","0.00%"
"06/22/2022","39,000.0","36,400.0","39,000.0","36,400.0","4.80K","0.00%"
"06/21/2022","39,000.0","39,300.0","39,300.0","38,000.0","21.00K","5.41%"
"06/20/2022","37,000.0","37,400.0","37,400.0","37,000.0","0.20K","-0.54%"
"06/17/2022","37,200.0","37,200.0","37,200.0","37,200.0","0.10K","-6.53%"
"06/15/2022","39,800.0","37,300.0","39,800.0","37,300.0","1.90K","-0.50%"
"06/14/2022","40,000.0","40,000.0","40,000.0","40,000.0","0.60K","0.00%"
"06/10/2022","40,000.0","39,950.0","42,000.0","38,400.0","4.20K","0.00%"
"06/09/2022","40,000.0","40,000.0","40,000.0","40,000.0","4.00K","0.00%"
"06/08/2022","40,000.0","40,000.0","40,000.0","40,000.0","0.30K","-4.42%"
"06/02/2022","41,850.0","38,200.0","41,850.0","38,100.0","2.50K","5.68%"
"06/01/2022","39,600.0","39,600.0","41,900.0","39,600.0","1.10K","0.00%"
"05/31/2022","39,600.0","42,000.0","42,000.0","39,600.0","12.10K","-6.38%"
"05/30/2022","42,300.0","42,000.0","42,850.0","40,200.0","9.60K","0.71%"
"05/27/2022","42,000.0","42,950.0","43,200.0","42,000.0","2.30K","-2.21%"
"05/26/2022","42,950.0","40,200.0","43,000.0","40,200.0","8.10K","-0.58%"
"05/25/2022","43,200.0","40,950.0","43,200.0","40,950.0","2.60K","-1.82%"
"05/24/2022","44,000.0","44,000.0","44,000.0","44,000.0","0.10K","5.52%"
"05/23/2022","41,700.0","41,700.0","43,550.0","41,700.0","17.70K","-6.92%"
"05/20/2022","44,800.0","44,800.0","44,800.0","44,700.0","1.60K","4.67%"
"05/19/2022","42,800.0","40,800.0","42,800.0","40,800.0","0.20K","-2.28%"
"05/18/2022","43,800.0","43,700.0","44,850.0","41,000.0","10.20K","0.00%"
"05/17/2022","43,800.0","41,600.0","44,600.0","41,600.0","1.50K","-2.01%"
"05/16/2022","44,700.0","42,400.0","44,700.0","42,350.0","1.50K","-1.76%"
"05/11/2022","45,500.0","45,500.0","45,500.0","45,500.0","0.10K","4.24%"
"05/10/2022","43,650.0","43,650.0","43,650.0","43,650.0","0.20K","-6.93%"
"05/06/2022","46,900.0","46,900.0","46,900.0","46,900.0","100.00K","0.00%"
"04/29/2022","46,900.0","44,050.0","46,900.0","44,000.0","1.50K","0.00%"
"04/28/2022","46,900.0","44,000.0","46,900.0","44,000.0","4.10K","-0.53%"
"04/27/2022","47,150.0","43,900.0","47,150.0","43,850.0","5.30K","0.00%"
"04/26/2022","47,150.0","47,150.0","47,150.0","47,150.0","0.20K","1.62%"
