"Date","Price","Open","High","Low","Vol.","Change %"
"01/26/2024","8,820.0","9,080.0","9,080.0","8,820.0","2.23M","-2.11%"
"01/25/2024","9,010.0","9,120.0","9,180.0","8,980.0","2.56M","-1.53%"
"01/24/2024","9,150.0","9,190.0","9,260.0","9,130.0","1.85M","0.00%"
"01/23/2024","9,150.0","9,200.0","9,270.0","9,050.0","2.53M","-0.54%"
"01/22/2024","9,200.0","9,320.0","9,390.0","8,910.0","6.92M","-0.86%"
"01/19/2024","9,280.0","9,280.0","9,280.0","9,250.0","3.60M","6.91%"
"01/18/2024","8,680.0","8,120.0","8,680.0","8,120.0","5.73M","6.90%"
"01/17/2024","8,120.0","8,030.0","8,300.0","8,030.0","1.81M","1.25%"
"01/16/2024","8,020.0","7,970.0","8,250.0","7,950.0","1.79M","0.63%"
"01/15/2024","7,970.0","7,780.0","8,100.0","7,780.0","1.48M","2.44%"
"01/12/2024","7,780.0","7,880.0","7,880.0","7,690.0","1.75M","-1.27%"
"01/11/2024","7,880.0","7,800.0","7,930.0","7,700.0","657.10K","0.64%"
"01/10/2024","7,830.0","7,940.0","7,980.0","7,800.0","547.50K","-1.51%"
"01/09/2024","7,950.0","7,900.0","8,350.0","7,380.0","1.24M","0.38%"
"01/08/2024","7,920.0","7,930.0","8,000.0","7,800.0","858.50K","-0.13%"
"01/05/2024","7,930.0","7,930.0","8,000.0","7,820.0","510.70K","-0.13%"
"01/04/2024","7,940.0","8,000.0","8,000.0","7,920.0","985.70K","-0.25%"
"01/03/2024","7,960.0","7,860.0","8,090.0","7,860.0","947.60K","1.27%"
"01/02/2024","7,860.0","7,870.0","8,390.0","7,860.0","469.50K","-0.13%"
"12/29/2023","7,870.0","7,490.0","8,060.0","7,490.0","1.24M","-2.24%"
"12/28/2023","8,050.0","8,130.0","8,400.0","8,050.0","1.29M","-0.98%"
"12/27/2023","8,130.0","7,900.0","8,190.0","7,830.0","2.02M","4.23%"
"12/26/2023","7,800.0","7,770.0","7,850.0","7,700.0","808.20K","0.39%"
