"Date","Price","Open","High","Low","Vol.","Change %"
"01/26/2024","12,700.0","12,600.0","12,700.0","12,500.0","182.30K","0.79%"
"01/25/2024","12,600.0","12,700.0","12,700.0","12,500.0","83.50K","-0.79%"
"01/24/2024","12,700.0","12,750.0","13,000.0","12,650.0","413.00K","-0.39%"
"01/23/2024","12,750.0","12,650.0","12,800.0","12,650.0","215.70K","0.79%"
"01/22/2024","12,650.0","12,600.0","12,650.0","12,500.0","187.20K","0.40%"
"01/19/2024","12,600.0","12,700.0","12,700.0","12,600.0","214.40K","-0.40%"
"01/18/2024","12,650.0","12,350.0","12,650.0","12,350.0","199.60K","1.61%"
"01/17/2024","12,450.0","12,500.0","12,600.0","12,400.0","221.00K","0.00%"
"01/16/2024","12,450.0","12,200.0","12,450.0","12,200.0","147.20K","1.22%"
"01/15/2024","12,300.0","12,500.0","12,600.0","12,300.0","227.10K","-1.99%"
"01/12/2024","12,550.0","12,600.0","12,750.0","12,400.0","375.80K","-1.18%"
"01/11/2024","12,700.0","12,800.0","12,800.0","12,600.0","245.70K","-0.78%"
"01/10/2024","12,800.0","12,750.0","12,850.0","12,550.0","426.20K","0.39%"
"01/09/2024","12,750.0","13,000.0","13,000.0","12,600.0","256.30K","-0.39%"
"01/08/2024","12,800.0","12,450.0","13,050.0","12,450.0","853.20K","2.81%"
"01/05/2024","12,450.0","12,400.0","12,500.0","12,300.0","236.20K","0.40%"
"01/04/2024","12,400.0","12,500.0","12,500.0","12,400.0","567.10K","0.00%"
"01/03/2024","12,400.0","12,000.0","12,500.0","11,950.0","548.40K","3.33%"
"01/02/2024","12,000.0","12,000.0","12,100.0","11,950.0","154.50K","0.00%"
"12/29/2023","12,000.0","12,100.0","12,100.0","12,000.0","273.10K","0.00%"
"12/28/2023","12,000.0","12,100.0","12,100.0","12,000.0","202.10K","-0.83%"
"12/27/2023","12,100.0","12,150.0","12,150.0","12,050.0","161.10K","0.00%"
