"Date","Price","Open","High","Low","Vol.","Change %"
"01/26/2024","25,450.0","25,350.0","25,550.0","25,200.0","5.63M","0.79%"
"01/25/2024","25,250.0","25,250.0","25,300.0","24,850.0","5.62M","0.00%"
"01/24/2024","25,250.0","25,400.0","25,450.0","25,050.0","5.43M","-0.59%"
"01/23/2024","25,400.0","25,150.0","25,600.0","25,000.0","10.24M","1.60%"
"01/22/2024","25,000.0","25,000.0","25,050.0","24,700.0","7.58M","1.01%"
"01/19/2024","24,750.0","24,950.0","25,150.0","24,650.0","5.98M","-0.20%"
"01/18/2024","24,800.0","24,350.0","24,800.0","24,350.0","8.80M","1.85%"
"01/17/2024","24,350.0","24,500.0","24,600.0","24,300.0","5.47M","-0.20%"
"01/16/2024","24,400.0","23,700.0","24,400.0","23,700.0","4.44M","2.31%"
"01/15/2024","23,850.0","23,900.0","24,200.0","23,800.0","4.50M","0.85%"
"01/12/2024","23,650.0","24,150.0","24,150.0","23,500.0","10.25M","-2.87%"
"01/11/2024","24,350.0","24,200.0","24,350.0","24,000.0","5.83M","1.46%"
"01/10/2024","24,000.0","24,750.0","24,800.0","23,850.0","9.47M","-2.64%"
"01/09/2024","24,650.0","25,050.0","25,100.0","24,500.0","5.96M","-1.20%"
"01/08/2024","24,950.0","25,000.0","25,300.0","24,900.0","8.58M","0.60%"
"01/05/2024","24,800.0","24,800.0","25,050.0","24,600.0","7.30M","0.20%"
"01/04/2024","24,750.0","25,100.0","25,150.0","24,600.0","9.26M","-1.39%"
"01/03/2024","25,100.0","24,300.0","25,450.0","24,250.0","12.25M","2.87%"
"01/02/2024","24,400.0","25,000.0","25,000.0","24,350.0","5.76M","-1.21%"
"12/29/2023","24,700.0","24,500.0","24,800.0","24,500.0","6.33M","0.82%"
"12/28/2023","24,500.0","24,450.0","24,600.0","24,400.0","4.63M","0.20%"
"12/27/2023","24,450.0","24,750.0","24,800.0","24,450.0","4.93M","-0.61%"
"12/26/2023","24,600.0","24,600.0","25,000.0","24,550.0","8.19M","0.41%"
"12/25/2023","24,500.0","24,150.0","24,500.0","24,100.0","4.86M","1.66%"
"12/22/2023","24,100.0","24,150.0","24,300.0","23,800.0","4.05M","0.21%"
"12/21/2023","24,050.0","24,000.0","24,200.0","23,900.0","3.52M","-0.62%"
"12/20/2023","24,200.0","23,850.0","24,200.0","23,800.0","3.93M","1.68%"
"12/19/2023","23,800.0","23,500.0","23,800.0","23,250.0","4.65M","1.93%"
"12/18/2023","23,350.0","23,700.0","23,850.0","23,350.0","5.15M","-1.48%"
"12/15/2023","23,700.0","24,200.0","24,300.0","23,550.0","10.47M","-1.25%"
"12/14/2023","24,000.0","24,900.0","24,950.0","23,900.0","8.45M","-2.44%"
"12/13/2023","24,600.0","24,700.0","25,300.0","24,350.0","17.50M","0.82%"
"12/12/2023","24,400.0","24,550.0","24,650.0","24,300.0","4.17M","0.00%"
"12/11/2023","24,400.0","24,550.0","24,550.0","24,050.0","5.37M","0.83%"
"12/08/2023","24,200.0","24,500.0","24,650.0","24,050.0","6.44M","-1.22%"
"12/07/2023","24,500.0","24,900.0","24,900.0","23,500.0","17.19M","-1.21%"
"12/06/2023","24,800.0","24,600.0","24,900.0","24,450.0","7.04M","1.22%"
"12/05/2023","24,500.0","24,400.0","24,700.0","24,350.0","11.62M","1.03%"
"12/04/2023","24,250.0","23,200.0","24,250.0","23,200.0","15.14M","6.83%"
"12/01/2023","22,700.0","22,950.0","22,950.0","22,400.0","4.85M","0.00%"
"11/30/2023","22,700.0","23,000.0","23,350.0","22,700.0","5.45M","-1.09%"
